wolof_word,word_type,english_meaning,wolof_phrase,english_phrase
sët,n,grand child,Moo sët am yee fi dekka.,He lives here with his grand children.
sëxa,va,to be hair,Luppa yi denus sëxa.,His thighs are hairy.
sëxat,v,to cough,Utal ko garabi sëxat.,Find cough medicine for her.
sëy,n,"wedding, marriage",Sëy bi dimaas la ci jaangubi.,The wedding is on Sunday at the church.
si,da,the,Supome si nób na.,The cabbage is rotten.
si,av,"to used in future imperative, can-in giving permission",,
si/ci,prep,"in, on, there about",Mungi si waañ bi.,It is in the kitchen.
sib,va,"to be dislike, be fed up with",Jikkoom ji la sib.,She dislikes his habit.
sibir,n,the second day after,Ci sibir si la fa deelu.,she returned there the second day after.
sibiru,v,"to have fever, have malaria",Dama sibiru woon fan yii yep.,I had malaria al these days.
sibooru,v,"to follow, to follow someone for money or material",Mune buggut sibooru.,He said he doesn't want following.
siim,v,"to mix, to mix cooked coos with boiled water or soup.",Siim na cere bi.,He has mixed the coos.
siin,v,to open the lips whilst teeth are clenched,Xar bangi siin.,The sheep has opened his lips.
siiru,n,wild cat,Siiru bi rey na ganaar bi.,The wild cat killed the chicken.
siis,va,to be jealous,Siis amut njerin.,To be jealous has no benefit.
siis,n,chair,Defar na siis yu rafet.,He made very nice chairs.
siit,v,to drip,"Liiy siit, lu mu doon?",What is that dripping stuff.
sikim,n,"chin, beard",Waani na sikim si.,He has reduced the beard.
simba,n,"masquerade, a wollof masquerade dressed and acting like a lion.",Deñu seetaani simba.,They've gone to watch the masquerade.
simeéku,va,to be undressed,Dafa simeeku ma gis yaram bi.,She undressed I saw her body.
simi/sumi,v,"to dethrone, undress (take out clothing)",Simi nga tubéy bi be pare.,You've taken off the pants already.
simis,n,shirt,jox na la simis yi.,She has given him the skirts.
sindax,n,lizard,"Lii du bar, sindax la.","This is not Iguana, it is a lizard."
sinemaa,n,cinema,Tiyaatar bi ci sinemaa bi leñu ko defee.,The concert will be held at the cinema.
sippa,n,skirt,Sippa yi amuñu mbubba.,The skirts doesn't have blouses.
sippa-sippa/sippax,n,strimp,Sipa-sipa dafa jafe ci nawet bi.,Strimps are not available in rainy season.
siraas,v,"to shoe shine, polish(shoe)",Siraas na daala yi yep.,He has polished all the shoes.
siso,n,scissors,Siso bi ñawut.,The scissors is not sharp.
so,v,"to set(sun), offer",Janta bi so na.,The sun has set.
sob,va,"to be nosy, be fussy, be mischievous, turbulent",Xam nga ne danga sob.,You know that you are mischievous.
soble/liñon,n,onions,Yooka ci tuuti soble.,Add in a bit of onions.
sóf,v,to load,Sofeer bangi sóf porto bagaas bi.,The driver loaded the boot.
soga/sooga,va,"to be have just done, have just",Mungee sooga eksi.,It just arrived.
soj/xurfaan,n,"have a cold, have a flu",Buggut ñoo waala soj bi.,She doesn't want to contaminate us with her cold.
sol,v,"to dress, put on, wear",Duñu sol yooyu.,They will not put on those.
soldaar,n,soldier,Soldaar yi xam ñenu seén ligeéy.,The soldier know their job.
soloh,n,"importance, business",Loo lu amut soloh.,That has no importance.
solu,va,to be dressed,Doo solu ñu aanda ci xëw bi.,"Won't you dress-up, together we go to the ceremony."
sondeel,n,candle,Bul tég soneel bi ci kow toogu bi.,Don't put the candle on top of the chair.
soo,conj,if you,"Soo jangee, dinga am xam-xam.","If you learn, you will have knowledge."
soo,v,"to lock, pierce, harvest (peanut), go (through)",,
soobee,va,to be please(to God),"Su soobee yalla, dina ko jel.","If God pleases, he will take it."
sóobu,v,"to plunge(in river, ocean e..",Soobu nga ci geej gi.,You plunged in the sea.
sooca,v,to scrub,Sooca ko be mu set.,Scrub is until it is clean.
soocet,n,cricket,Loolu riiri soocet la.,That is a crickets sound.
soocu,n,"chewing stick, One can also clean the mouth with the stick.",Soocu guru moo baax.,Colanut chewing stick is the best.
soof,va,"to be dull, be banal, be insipid","Waaju raffet jeeka la, waay dafa soof.",A good looking man but insipid.
soona,va,to be tired,Tey dama soona torop.,Today. I'm very tired.
soonal,va,"to be suffering, strive",Feebar bangi ko soonal.,His illness is getting to him.
soope,n,"admirer, loved one",Sa soope seetsi na la.,Your loved one visited you.
soos,n,sauce,Wón nu ñuy toogee soos bi.,show us how we cook the sauce.
sooti,v,"to insert, pour, slot, tuck",Sooti ko ci pax bi.,Pour it in the hole.
sooti,va,"to be completed, be complished",Afeer bi sooti na.,the business is accomplished.
soow,n,"cream, sour milk",Cuura ak soow bu piir la dee naan.,Porridge is nice with pure sour milk.
soow,v,to talk loudly,Bul leen soow damaa nelew.,do not talk loudly I want to sleep.
soox,v,to leap,Dafa réxa moo tax muy soox.,He has a sprain thats why he is leaping.
sooxa,n,"pound, Remove chaft",Sooxal dugub gi.,Pound the cooS.
sooy,n,silk,,
soraans,n,orange,Soraans yu rey laa bugga jënda.,I want to buy big oranges.
sore/sori,va,to be far,Kër gi dafa sori.,The compound is far.
soxla,va,"to be need, problem, bussiness",Loolu du sa soxla.,That is not your problem.
soxna,n,"wife, woman, lady, madam",Soxna si nanga def?,Madam! how are you?
soxor,va,to be wicked,Neena ñi deñu soxor.,Some people are wicked.
su,n,"when, if he, cabbage, if it, if she","Su damee, dinaa fa ñow.","If he goes, I will come there."
su/bu,rp,relatives,Suuf su weex gi lay lekka.,She is eating the white sand.
subba,n,"tomorrow, morning",Ci subba la tukki.,She travelled in the morning.
subux,v,to poke,Dafa subux baramam bi si suma bot bi.,She poked her finger in my eye.
sufuné,va,to be rumple,Yereém yi yepa sufuné.,All her clothes are rumpled.
sujeer,n,pot,,
sukka,v,"to kneel, genuflect",Sooy meyee dox ci mag dey sukka.,"Kneel when you're giving an elderly person water, do kneeld"
sukkar/sukkur,n,sugar,Sukkar bu bari baaxut ci yaram bi.,Toomuch sugar is not good for health.
sulla,n,penis,,
suma,pa,my,Suma xarit bu baax la.,She is my good friend.
suma boppa,n,oneself,,
sunguf,n,powder,Jox ko sunguf si.,Give him the powder.
suñu,n,"if/when we, if/when they",Suñu alel la woon.,It was our property.
suñu,pa,our,Suñu alel la woon.,It was our property.
supa,n,"okra soup, soup prepared with okra",Supa lan dee tooga samdi bu nekka.,We cook okra soup every Saturday.
supo me,n,cabbage,Pañe supomé naata?,The basket of cabbage is how much?
surga,n,"dependant, roving farmers",Kër gangi fees tep ak ay surga.,The compound is filled up with roving farmers.
suruxal,n,slot,,
sutal,va,"to be finished, completed",Sutal neñu mbinda mi.,We have finished writting.
suti,n,tool,Loolu suti sampa neég la.,That is a building tool.
suti,va,to be completed,Ligeey war naa suti balaa ñuy dem,The work should be completed before we go
sutura,adj,"secretive, concealed, covered",,
sutura,v,"to save, conceal a person's secret, secure someone, to bury a corpse",,
sutura,n,"decency, secretive, discreet","Na nekka ci sutura, bu ko ken xam","Let it be in secret, let no one know of it"
suub,v,to dye,Darabi suub la,The bed sheet is dyed
suuf,prep,"bottom, beneath",Def naa ko ci suuf,I placed it at the bottom
suul,n,burial,Suul bi elëk la,The burial is tomorrow
suul,v,to bury,Suul neñu niiw bi tey,They buried the corps today
suum,n,lobster,Suum dafa seer ci xoteel bi,Lobster is expensive in the hotel
suur,va,"to be full, satisfied","Suur naa, duma lekka","I am full, I will not eat"
suusal,n,steam,,
suux,v,"to sink, water",Deey suux taati garab yi ngoon gu nekka,do water the trees every evening
suuyee,n,July,Nungi ci suuyee,We are in July
suwetmaa,n,"under wear, underclothes",Dafa seeda moo tax ma sol suwetmaa,It is cold thats why I put in an underwear
suwo,n,"Juné, home, compound containing a home",Suwé leñaa tambali ligeey,We will start working in June
suxi,v,"to uproot, pluck",Suxi na ñaari bon,He plucked two teeth
suy,v,to sprinkle,suuyal garab gi ci tool bi,Sprinkle the insecticide in the field
sweijeex,n,skinny,,
taa,v,"to go, take, accept, depart",,
taa,n,puddle,Taa bi wowut dipi bimi tewee,The puddle has not dried up since it rained
taab,n,"boil, abscess",Deta bu baree geena ci taab bi,Too much pus came out of the abcess
taabi,v,to fill(in a hole),Xale yu goór yangee taabi pax bi,The boys are filling the hole
taabul,n,table,Kayit yangi ci kow taabul bi,The papers are on the table
taaca,va,to be flat,Buru bi dafa taaca,The breads are flat
taacu,v,to clap,Bul taacu dafa bugga nelew,Don't clap he wants to sleep
taaga,n,nest,,
taagaatle,n,sperate,,
taage,n,obituary announcement,Deega naa taage bi,I heard the obituary announcement
taagee,n,death announcement,Ku dee ci marse yaa taage sa boopa,"If you die in the market, you announce your death"
taagu,v,"to take leave, take a permission",Taagu neñu balaa ñuy dem,We took permission before we left
taaj,v,"to place, put, setdown",Taaj ko fi,Place it down here
taaka,v,"to ablaze, alight",Safara bi taaka na,The fire is ablazed
taal,v,"to light, start, kindle",Taal na sondeel ci neeg yi,She lit candles in the houses
taalal,v,to go straight,"Taalalal be ci kanam, nga laaxa",Go straight for a while and turn
taali,va,"to be straight, straighten",Dafa wara taali,It should be straight
taalube,n,"arabic scholar, disciple, follower",Kii taalube la,This person is an Arabic scholar
taama,v,"to walk, travel",,
taama,va,"to be used to, addicted to",Dafa taama sigaret torop,He is very addicted to cigarettes
taambali,v,"to begin, start, commence",Tey laa tambali,It will start today
taanal,v,"to select, identify, choose",Taanal bi la ci neex,Select the one you like most
taandarma,n,"date tree, date fruit, dates",Lii taati taanderma la,This is a date tree
taanga,va,to be hot,Bërëb bi tanga na torop,The place is very hot
taapa,v,to castrate,Xar buñu taapa la,It is a castrated sheep
taapandaar,n,"flat, flat fish",Jaay ma taapandaar bi,Sell me the flat fish
taaparka,n,"flat wood, Wood used for beating dyed clothes.",Won ma fi noo amee taaparka,Show me where to get the flat wood
taar,va,to be beauty,Taaram bee ko nax,Her beauty is fooling her
taaru,va,to be beautiful,janxa bii dafa taaru,This girl is beautiful
taat,n,buttocks,,
taataan,v,to collect rain water,Indil paan yi ñu taataan,"Bring the pans, let us collect rain water"
taaw,n,first born child,Moom mooy taaw,He is the first born child
taax,n,storey building,Taax bii dafa maaget,This storey building is old
taaxale,v,to seperate,Taaxalel xeexkat yi,Seperate the fighters
taayi,v,to seperate,Taayi na kayit yi,She has seperated the papers
tabala,n,"drum, Muslim holy drum.",Tabale leñu dee yegleee,Use the drum to call or inform people
tabax,n,a stone wall,Tabax bii yaaga fii,The stone wall has been here for a long time
tabax,v,"to build, construct",Mangee tabax neeg bu em,I am constructing a medium house
taf,v,"to stick, plaster",Taf ko fa be ci kanam,Stick it there until later
tafaar,n,"quarrel, crime",Defatinga tafaar,You commited a crime again
taga,v,"to praise, eulogize",Taga na ko bubaax,He praised her lot
tajoor,n,tailor,Demal jelal ma suma new bi ci tajoor bi,Go get my clothes from the tailor
takandeer,n,shadow,Buggu maa gis sa takkandeer,I don't want to see your shadow
takka,v,"to tie, wed, lether, marry",Takka na ko alxamis,He married her on Thursday
takkarnaase,adv,continuous,Yef yi takkarnaase na,The things been continuous
takkusaan,n,4:30 - 5:00pm,Takkusaan laa dee waaca ligeey,I finish work at 4:30-5:00pm
taksi,n,taxi,Mangee ut taksi,Iam looking for a taksi
talaata,v,"to reduced, divided, shared, seperated",,
talaata,n,Tuesday,Tey talaata la,Today is Tuesday
tali,n,"paved road, road, street, tarred",Bul dox ci kow tali bi,Don't walk on the paved road
tam,v,"to accuse, accuse someone of witch craft",Domma leñu ko tam,They accused him of being a witch
tam,adv,also,Moom tam dina now,She will also come
tama,n,"tom-tom, drumming(activity), Small talking drum",Tama neexuta tégga,A tom-tom is not easy to beat
tamaate,n,tomatoes,Tamaate yi ñor neñu,The tomatoes are not ripe
tame,n,a sieve,Tame ñetti fason la am,A sieve has three types
tamomoita,n,thermometre,Deelool tamomita palaasam,Return the thermometre to its place
tamostaat,n,thermostat,Tamostaat bangi biir almoor bi,The thermostat is in the cupboard
tampe,n,stamp,,
tan,n,"eagle, vulture",Tan bi yoobu na cuuc bi,The eagle has taken the chick
tane,va,to be better,Leegi mungee tane bu baax,Now it is getting better more
tangaay,n,"heat, warm weather",Tangaay bangee now,The warm weather is approaching
tangal,n,candy,Jendalal xale yi tangal,buy candy for the kids
tangoor,n,heat,Tangoor bi oppa na,The heat is too much
tanka,v,"to memorise, save from trouble.et",,
tanka,n,"protect, foot, twelve bututs",Weecili tanka nga ko wara jox,You should give him 12 bututs change
tanta,n,aunt,Ci tantaam la dekka,She lives with her aunt
tanxa,v,"to water, draw",Tanxal ci ndox mi nga naan,Take some of the water and drink
tañca,v,"to insult, tell off",Baayil di tañca sa mag yi danga tuuti,Stop telling off your elders you are young
tan,n,"season, period, time",Yeena tan yi dafa dee tanga,Its gets seasonally warm
tan,v,"to steam, plaster",Tey leén nataal yi ci miir bi,Place the pictures on the wall
tapa,v,"to stick, pin",Dama tayal ci tapa buton,Iam lazy to sew buttons
tapaas,v,"to trouble, to heckle",Moo ko doon tapaas dipi démba,She was heckling her since yesterday
tapaat,n,fence,Bul seben ci tapaat bi,Do not urinate on the fence
tapale,n,rip off,,
tape,n,"carpet, rug, linoleum",Leegi tape dafa seer,Now carpet is expensive
tar,n,pile,Xale yi deñu tar bota bi ci seen mbuuru mi,The children piled the butter on their bread
taraase,v,to slice,Liñon buñu taraase gi ci bool bi,The sliced onions are in the bowl
tarde,va,to be late,Duy bugga di tarde,He doesn't like to be late for work
tari,v,to recite,Naata saar nga muna tari?,How many verses can you recite?
tas,v,"to scatter, breakup, destroyed",Booli weer bi tas na,The glass bowl has broken up into pieces
tasaare,v,to scatter,Mungi tasaare bagaas yi funekka,He scattered the things every where
tasaaroo,va,to be scattered,Nag yi tasaaroo nenu ci biir aala bi,The cattle has scattered in the bush
tasee,v,to meet,Dineñu fa tasee,We will meet there
tasiyon,n,"hypertension, high blood pressure",Dafa am feebari tasiyon,He is a high blood pressure patient
taw,v,to rain,Hej na leegi tey mu kumaase di taw,May be soon it will start to rain
tawat,v,"to complain, drenched, rained",Danga muna tawat torop,You can complain too much
tax,n,cause,Lan moo tax xuloo bi am?,What caused the quarrel?
taxa,v,"to stain, stick to",Yereem yi deñu taxa distiir,Her clothes got palm oil stain
taxañ,v,to fetch firewood,Samdi bu-nekka la dee faxañi,He fetches wood every Saturday
taxaw,v,"to stand, stop",mangi taxaw di la xaar,Iam standing waiting for you
taxaw,n,stood,,
taxe,n,sticky,,
tay,n,stick,,
tayal,va,to be lazy,Dama tayala eewu,I am lazy to wake up
taybaas,n,blouse (wolof style),Taybass laa bugga ñawlu,I want to get a top made
te,av,"to negates ""be"" and ""mu""",,
te,conj,"also, then, and",Dinaa ko wox te doo ma doór,I will say it and you will not beat me
teb,va,to be full (the brim),Lekka neñu be suñu biir yi fees tëb,We ate until our stomach are full to the brim
teeda,va,"to be comfortable, enjoy",Jigeen deñu ko war di teedal,A woman should be made comfortable
teegi,v,to remove,Baalal ma nga teegi bagaas yi ci table bi,Forgive me and remove the items on the table
teeki,v,"to succeed, fruitful",Kii du teeki muk,This person will never succeed (expression)
teel,va,to be early,Dafa teel pur lajte xaalis,It's too early to ask for money
teela,n,shallow frying pan,Dama soxla teela pur saaf jën,I need a shadow frying pan for frying
teela door,n,start early,,
teen,n,lice,Fór naa teen ci kawaram bi,I picked lice in her hair
teen,va,to be meek,Nit dafa wara teey,A person should be patient
teer,v,to land (ashore),Gaal bi ellek lay teer,The ship will land tomorrow
teere,n,"amulet, book",Lakka na teere yi mu am yep,We have burned all the amulets he has
teertu,v,to welcome,Teertu gangi nehnah,The welcoming of the guest was fun
teeru,n,"coastal village, a port, town, to wait for someone",Nungee dem ci teeru bi,We are going to the port
tees,v,to stop,Fii la wox ji tees,The conversation will stop here
teesal,v,to reach one's limit,Leegi teesal nga,Now you have reached your limit
teew,va,to be present,Ñun ñep fa teew,We were all present there
teewee,v,to witness,Moo teewee xeex bi,He witnessed the fight
teexet,va,"to be stubborn, holy",Dafa bugga neeka ku teexet,He wants to be a holy person
teey,va,"to be patient, more carefully",Danga wara teeylu sa dundu,You should move carefully for your life
teeyi,n,still,,
tefes,n,beach,Dem na tefes uti jen,She went to the beach to get fish
teg,v,"to place, forge, put, fabricate",Daala bii teg la,This shoe is a fabricated one
tegu,n,"scarf, cloak",Gisut tëgu bi mu tiyewoon,She did not see the cloak she held
tek,adv,"very, exactly",,
tek,n,stake,,
tene,n,"tiger, panther",Tene and gayindeen buur ci aala bi,Tiger and lion are the king and queen of the jungle
tenten,n,winnowing basket,Mungee bees dugub bi ci tenten bi,She is winnowing the coos in the basket
teral,v,"to entertain, regale",Soo amee gan danga koo teral,If you have a guest you should entertain him/her
teranga,n,"respect, hospitality",Woxal ak moom ci teranga,Talk to her with respect
tere,v,"to prevent, prohibit, forbid",Yoóni julit be tere nan,The muslim law prohibits drunking alcahol
tereene/terende,n,"article lying about on, an artcle lying about on the floor",Foral yii tereene nii,Pick up the articles lying about the floor
teretuwaar,n,footpath,Ci teretuwaar bi leñu ko saani,It was thrown on the footpath
tey,v,"to do deliberately, do intentionally, break, cross a river,etc., smash",Yaa ko tey rey xaj bi,You deliberately killed the dog
tey,n,"today, ferry",Dina ñibi tey,He will go home today
téeméer,n,hundred,Noom téeméera wara eka,Hundred of them should arrive
téen,n,well,Gas neñu ñetti téen ci dekka bi,They have dug three wells in the village
të,va,"to be intracable, uncontrolable",Kii dafa të,This person is uncontrolable
tëb,n,spring,,
tëb/tob,v,"to leap, jump","Bul tëb, dinga daanu","Do not jump, you will fall down"
tëcca/ticca,v,"to pinch, hurt, Pinch oneself in a door way or between any two hard things.",Dafa tëccu ci loxo,He hurt his finger
tëdda,v,to go to bed,Nun denu dee teela tëdda,We go to bed early
tëdda,va,to be lie down,kaay tedda fii nga noppale ku,Come and lie down here and have rest
tëga,n,"black smith, silver/gold smith",Yoobu neñu suñu takkaay yi ci tëga bi,We took our jewelry to the silver/gold smith
tëga,v,to play drums,Kumaase leen tëga sabar yi,You(pl) start playing the drums
tëgakat,n,drummer,Ana tegakat bi,Where is the drummer
tëj,v,to close,Tej na bunta yi yep,All the doors are closed
tëla,n,cutlet of fish,Jendal ma teela,Buy for me a cutlet of fish
tënja,v,to mourn,Yal na ma yalla musal ci tënja,May God save me from mourning
tër,v,to trap,Tër na janax bi,He has trapped the mouse
tëral,v,"to enact, lay down",Tëral na liir bi ci lal bi,she layed the baby on the bed
tëstan,n,foot (sole),Dumay muna ndox ci suma tëstan bi,I cannot walk on the sole of my foot
tëstës,va,to be business like,Munut tëstës,He is not business like
tëx,va,to be deaf,"Duy degga, dafa tëx","He cannot hear, he is deaf"
tëxa-tëxa,n,"difficulty, a stumbling block",Munuma feekee séy ngir ay tëxa-tëxa,I could not attend the wedding due to some difficulty
tibba,v,to take a handful,Tibbal lu bari,Take a handful
tiim,v,"above, help someone deliver, perform abolution, look down on, higher than, Perform abolution without water.",Tey damay tiim,Today I will perform ablution without water
tiimkat,n,mid wife,Ooyal ma tiimkat bi,Call the midwife for me
tiiñal,v,to accuse,Bul ma tiiñal,Do not accuse me
tiir,n,palm tree,Taati tiir bee daanu ci kow neeg bi,The palm tree fell on the house
tiire,va,to be aim,Lu baax laa dee tiire tusuur,I always aim for the good
tiis,n,sorrow,Bii nijaayam deeyee dafa am tiis bu mag,"When her uncle died, It was a big sorrow"
tiit,va,"to be greedy, afraid, frightened, alarmed",Yow danga tiit,You are greedy
tilim,va,to be dirty,Dama bugga sangu paski dama tilim,I want to take shower because I'm dirty
timis,n,dusk,Timis leñu dee reer,We usually eat dinner at dusk
tir,adv,suddenly,Bimu ne tir ken gisut ko,Heran suddenly and no one saw him
tis,v,to splash,Yangi tis naan bi fu-nekka,You splashed the drink every where
tisbaar,n,"2:00pm, Afternoon prayer time.","Tisbaar jot na, neñu len juli",Its the afternoon prayer time let us pray
tisoóli,v,to sneeze,"Mangee tisooli, dama soj","I am sneezing, I have a cold"
tiye,v,"to hold, restrain",Tiye ko balaa muy daanu,Hold him before he falls
toftof,n,motor bike,,
toj,v,"to break, broken, split open",Dafa toj dipi demba,It was broken since yesterday
tomaate-loxati,n,tomato paste,Bul def tamaate-loxati ci soos bi,Don't put tomato paste in the sauce
tóntóor,n,sprout(flowering stage),Bale leen tóntóor yi suuf si,Sweep the sprouts on the floor
tóntu,v,"to answer, respond",Suma tontu bi laay xaar,I am waiting for my answer
ton,v,"to help(someone to climb, to go, prop.",Neñu dem nga toň ma,"Lets go, you help me to climb"
toocarmeku,v,to apply oil on one's body,Dafa toocarmekoo diw,She is applying skin oil on her body
toog,n,sit in one place,,
toog,v,"to sit, settle",Kaay leen toog fii,You(pl) come sit here
tooga,v,to cook,Fatou wara tooga tey,Fatou should cook today
toogakat,n,cook,Jëkaram toogakat la,Her husband is a cook
toogu,n,chain,Jocal gan yi toogu ñu toog,give the guest a chain let them sit down
tooj,n,a bench,Geeneel ñu tooj yi,Take out the benches for us
tool,n,"field, garden",Ren bey ngeen tool yu bari,You've cultivated many fields this year
toolaale,v,to compare,Bul ma toolaale ak moom,do not compare me with her
tooloo,va,"to be equal, same, Have the same size with/as someone.",Yenna tooloo pey,You all have the same salaries
toombee,n,coincidence,Lii deey tombee la,This is a coincidence
toon,v,"to trespass, provoke",Binga duggee këram nga ko toon,You trespassed when you entered his home
toopa,v,to follow,Danga bugga toopa nit torop,You like following people too much
toopandoor,v,"to imitate, pirate",Daala yi ñu toopandoor duy dëggër.,Imitated shoes are not usually strong.
toopatoo,v,to take care of,Moo dee toopatoo suma doóm bi.,She takes care of my child.
toope,v,to follow(someone),Dafa taama toope.,He is used to following people.
tooris,n,tourist,Ren oteel yi bari wuñu tooris.,This year the hotels don't have many tourists.
tooxa,v,to drip,Dina tooxa soo ko buggee yoobu.,It will drip if you want to take it away.
tooxa-tooxa,n,"stain, spots",Sa mbuba mi dafa am tooxa-tooxa.,Your dress has stains.
tooy,va,"to be wet, moist",Lii dafa tooy.,This is wet.
toóy,va,"to be stupid, foolish",Yow danga toóy torop.,You very stupid.
tooyaay,n,wetness,Tooyaay bii doyna.,It's wet enough.
tooyal,n,moisten,,
tooye,n,wetness,Duma dugga ci tooye bi.,I will not get in this wetness.
torop,inten,very,Set dafa baax torop.,Cleaness is very good.
torox,va,"to be suffer, poor, cursed","Balaa muy am ligéey, dafa torox be!","Before he got a job, He suffered a lot."
toxon,v,to rub(the eye),Soo toxoñee sa bot bi dafay genaa meeti.,If you rub your eyes it will hurt more.
tubaab,n,"foreigner(European), white person, two-bob, addressing term for a ""tubaaboo""",Leegi tubaab yangi bari ci dekka bi.,Now there many white people in town.
tubéy,n,"pants, trousers",Sa tubéy bi rafet na.,Your trouser is nice.
tudda,n,named,Xaddi la tudda.,Her name is Haddy.
tuddee,v,to name,Xajam bi Ricki la ko tuddee.,She named her dog Ricky.
tufli,v,to spit,Bul tufli ci néeg bi.,Do not spit in the house.
tuflit,n,spittle,Palaas bangi fees ak tuflit.,The place is full of spittle.
tukki,v,to travel,Dinaa tukki ci kanam tuuti.,I will soon travel.
tunda,n,hill,Mus ngaa eeg tunda?,Have you ever climbed a hill?
tun,n,mulching,Baayil di mocca sa tuun bi.,Stop mulching your lips.
turki,n,shirt (local style),Turki laa bugga nawlu.,I want to get this shirt style made.
tus,n,naught,,
tusungal,n,"kohl, Comestic for the eye lashes.",Lii buteéli tusungal la.,This is a kohl bottle.
tuub,v,"to convert, apologise",Dina tuub su la buggee takka.,He will convert if he wants to marry you.
tuubal,v,"to convert, forgiveness, someone to ask for forgiveness",Imam bee ko tuubal,The imam converted him.
tuubéen,n,proselyte,Yaaga naa nekka tuubéel.,He has been a proselyte long time.
tuuf,n,ointment(eye),Jendal tuuf nga faj sa waanent bi.,Buy eye ointment and cure your conjunctivities.
tuufa,n,"snail, shell fish",Dumay bugga gis tuufi ci nawet.,I hate to see snail during the rainy season.
tuuk,ex,"quiet, Expression used to stop someone from using invectiveness",Dang yuuxu tuuk ñep diñenu noopi.,You have to shout quiet! everyone will be quiet.
tuumal,v,to accuse(wrongly),Deñu ko tuumal saaca.,They accused him of stealing.
tuur,n,"shrine, idol, spirit",Deñu am tuur bi ñu dee jaamu.,They have an idol that they worship.
tuur,v,"to pour, spill",Dina tuur ndox mi.,It will pour the water.
tuuti,va,"to be small, little",Lii dafa tuuti torop.,This is very small.
tuux,va,to be content,Waaji dafa tuux.,This man is conten.
tux,v,to smoke,Moom duy tux leegi.,He doesn't smoke now.
tuxkat,v,to smoker,Tuxkat bu mag la woon.,He was a chain smoker.
ub,v,"to cover, close",Mbaa ub nga lekka yi.,Hope you've covered the food.
ubbi,v,to open,Ubbi na bunta yi yep.,He has opened all the doors.
ubbu,va,to be closed,Lii dafa ubbu.,This is closed.
ubéeku,n,opened,,
um,v,to bring bad luck,Soo tojee seetu danga dee umu.,If you break a mirrow it brings bad luck.
umpa,v,"to a mystery, puzzle",Dafa ma umpa lutax taanuñu ma.,It is a mystery to me why they didn't select me.
unka,n,wall gecko,Unka duy maate.,A wall gecko doesn't bite.
urlé,v,to hem,Firil urle bi mu fawaat ko.,Loose the hem let him sew it again.
urus,n,gold,Saaca na urus yu yaayam amoon yep.,He has stolen all the gold his mother owned.
ut,v,"to search, find",Jiwu yi ñu deñcoon fii leñoo ut.,We are searching for the seeds we kept here.
utee,va,"to be different, difference",Bii dafa utee ak bale.,This one is different from that one.
uti,v,"to go find, go look for",Nungee uti meew.,We are going to look for milk.
uude,n,"cobbler, leather worker",Uude yi ñoo dee defar daala.,The cobblers makes the shoes.
uuf,n,"carry, Put on one's lap.",Toogal uuf sa dóom bi pur doktoor bi penguko.,Sit down and carry your child for the doctor to inject her.
uus,va,"to be abandon, leave for good","Ni dee uus seen doom yi,uyu jaaxal neñu ma.","people who abandan their children, surprise me."
uyu,v,"to answer, respond",Doo uyu ki laa oo.,Will you answer the person calling you.
waa,n,"inhabitant, reed, one's heritage, resident, citizens, people of, kind of grass",Noom waa dex gi leñu.,They are residents of the provinces.
waa,v,"to do, keep doing",,
waaca,v,"to descend, off work, come down",Waaca naa ligeey.,I am off work.
waaf,n,dock,Fii néégi waaf yi la.,Here is the house of the ducks.
waaf,v,to ambush,Soldaar yangi waaf biñu déegée riir mi.,The soldiers ambushed when the heard the noise.
waafu,n,seige,,
waajur,n,parents,Suma waajur yi amañu xarit.,My parents don't have friends.
waaka,v,to throw,Waakal linga for.,Throw! what you've picked.
waakirlu,v,to volunteer,Dina waakirlu gas teén bi.,He will volunteer to dig the well.
waal,v,to veil,Abal ma sa waal bi.,Lend me your veil.
waala,v,"to part, segment",Jox ma suma waala ci yoobal bi.,Give me my share of the gift.
waala,va,"to be part, contaminate",Feebaram bi la ma waala.,He contaminated me with his desease.
waala,n,"share, section",,
waale,va,to be contagious,Feebar bii dafaa waale.,This disease is contagious.
waali,v,"to go to, to join",Moo waali pur teel ko jot.,He went forth to get it early.
waaliyaan,n,"foreigner, Person, coming into a new society",,
waame,va,"to be moody, stormy",Nit ku nekka danga waame,Every person becomes moody
waame,n,"tide, high tide",Geej gi dafe waame tey,The ocean is at high tide today
waan,n,van,Waan la jenda ci fan yii,He bought a van these days
waane,va,"to be a hypocrite, partake",Moo nekkoon waane bi seen digante,He was the hypocrite between them
waanent,n,conjunctivities,Utal garab pur sa waanent bi,find a medicine for your conjunctivities
waan,n,kitchen,Duggal ci waaň bi nga tooga,Get in the kitchen and cook
waañeeku,n,"reduced, reduce, lessen",Taw bi waaneeku na,There is less rain now
waañi,v,to reduce,Dafa koy waañi dafa oppa,"He is to reduce it, it is too much"
waar,va,"to be shocking, stun",Lii dafa ma waar,This thing stunned me
waar,n,acre,Am neñu juroomi waari tool pur bey,We have five acres of land for cultivation
waar,v,to preach,Waar ko ndax mu wecheeku,Preach him so that he will change
waare,v,"to preach, sermons",Dama dee bugga waare mbir yalla,I usually like to listen to sermous about Allah
waaru,va,"to be mystified, amazed, surprised","Dafa waaru, be mu ko déegée",He was mystified when he heard it
waas,n,tilapia,Geeji Tendaba bi waas la bari,The river has plenty of tilapia at Tendaba
